date,index_value,daily_return
2020-07-02,1243.6151338490,0.0062854350
2020-07-06,1269.0874272809,0.0204824569
2020-07-07,1253.0434127350,-0.0126421665
2020-07-08,1280.2775016899,0.0217343539
2020-07-09,1296.5627422535,0.0127200865
2020-07-10,1294.0312179413,-0.0019524889
2020-07-13,1257.6439574272,-0.0281193066
2020-07-14,1274.5770821188,0.0134641642
2020-07-15,1267.2462053021,-0.0057516151
2020-07-16,1264.6807187099,-0.0020244579
2020-07-17,1274.6330224921,0.0078694200
2020-07-20,1305.3360603898,0.0240877471
2020-07-21,1299.4718573924,-0.0044924852
2020-07-22,1308.2385507476,0.0067463511
2020-07-23,1289.7354565182,-0.0141435170
2020-07-24,1282.9233988081,-0.0052817480
2020-07-27,1317.1061169523,0.0266443953
2020-07-28,1298.5003264373,-0.0141262654
2020-07-29,1328.9741348554,0.0234684642
2020-07-30,1341.0498536586,0.0090864965
2020-07-31,1353.9068059331,0.0095872292
2020-08-03,1373.5140129056,0.0144819473
2020-08-04,1381.7975499588,0.0060309083
2020-08-05,1385.2775044007,0.0025184257
2020-08-06,1379.6311860445,-0.0040759475
2020-08-07,1357.1747590200,-0.0162771234
2020-08-10,1347.1410192221,-0.0073931082
2020-08-11,1325.4934210986,-0.0160692888
2020-08-12,1350.0248246895,0.0185073748
2020-08-13,1342.3087677469,-0.0057154926
2020-08-14,1337.4474716031,-0.0036215931
2020-08-17,1352.3568897596,0.0111476663
2020-08-18,1353.2990900090,0.0006967098
2020-08-19,1347.3310921007,-0.0044099623
2020-08-20,1356.7230337558,0.0069707748
2020-08-21,1354.3351814687,-0.0017600146
2020-08-24,1363.2422019661,0.0065766736
2020-08-25,1374.8249679047,0.0084964843
2020-08-26,1395.2249578522,0.0148382452
2020-08-27,1379.0123678690,-0.0116200545
2020-08-28,1397.0959359726,0.0131134198
2020-08-31,1396.8954754876,-0.0001434837
2020-09-01,1420.4944118600,0.0168938455
2020-09-02,1449.2495797637,0.0202430701
2020-09-03,1371.9550264372,-0.0533341906
2020-09-04,1349.5236023911,-0.0163499704
2020-09-08,1307.3169135102,-0.0312752506
2020-09-09,1339.7960958785,0.0248441537
2020-09-10,1321.2884654337,-0.0138137665
2020-09-11,1319.8274489497,-0.0011057513
2020-09-14,1346.9723737909,0.0205670255
2020-09-15,1368.4030127920,0.0159102291
2020-09-16,1355.9662635333,-0.0090885135
2020-09-17,1341.3309578933,-0.0107932668
2020-09-18,1334.6826807523,-0.0049564778
2020-09-21,1334.8743937566,0.0001436394
2020-09-22,1355.8727671585,0.0157305987
2020-09-23,1322.8570311865,-0.0243501727
2020-09-24,1329.3181180692,0.0048841914
2020-09-25,1348.8434997271,0.0146882687
2020-09-28,1378.8922458968,0.0222774148
2020-09-29,1386.4157179693,0.0054561711
2020-09-30,1387.8779247803,0.0010546669
2020-10-01,1406.1862929344,0.0131916272
2020-10-02,1378.2211795702,-0.0198872038
2020-10-05,1416.2950650987,0.0276253812
2020-10-06,1404.9399821807,-0.0080174557
2020-10-07,1427.5972289847,0.0161268432
